"osm_id","date_time","link_dir","speed_kmph","n_time","n_day","stores","n_month","highway","road_lt_m","bus_stop"
176665188,"2018-04-01 03:00:00",1,33,"03:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 03:00:00",1,19,"03:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
13769164,"2018-04-01 03:30:00",1,4,"03:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 03:15:00",1,12,"03:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 03:15:00",1,36,"03:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 03:00:00",1,35,"03:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 03:15:00",1,8,"03:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 03:15:00",1,40,"03:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
197107696,"2018-04-01 03:30:00",1,41,"03:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 03:30:00",1,14,"03:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 03:30:00",1,34,"03:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 03:45:00",1,13,"03:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 03:45:00",1,11,"03:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 03:45:00",1,34,"03:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 03:45:00",1,38,"03:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 04:00:00",1,19,"04:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 04:00:00",1,32,"04:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 04:00:00",1,9,"04:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 04:15:00",1,33,"04:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 04:00:00",1,44,"04:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 04:15:00",1,11,"04:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 04:15:00",1,17,"04:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
197107696,"2018-04-01 04:15:00",1,51,"04:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 04:30:00",1,17,"04:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 04:45:00",1,19,"04:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 04:30:00",1,33,"04:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 04:30:00",1,37,"04:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 04:30:00",1,19,"04:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 04:45:00",1,12,"04:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 04:45:00",1,38,"04:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 04:45:00",1,41,"04:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
197107696,"2018-04-01 05:00:00",1,34,"05:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 05:00:00",1,18,"05:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 05:00:00",1,45,"05:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 05:00:00",1,14,"05:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
13769164,"2018-04-01 05:30:00",1,22,"05:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 05:15:00",1,42,"05:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 05:15:00",1,20,"05:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 05:15:00",1,22,"05:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 05:15:00",1,42,"05:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 05:30:00",1,21,"05:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 05:30:00",1,38,"05:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 05:30:00",1,36,"05:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 05:45:00",1,8,"05:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
13769164,"2018-04-01 06:00:00",1,11,"06:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 05:45:00",1,42,"05:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 05:45:00",1,15,"05:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 05:45:00",1,37,"05:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
